"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
29.7,13.7,59.2,12,9450000,2,,,,,,,,2,2015.0,0,18,,Красногвардейский,Девяткино,60.029885,30.452044
25.0,16.0,56.5,2,11760000,1,,,,,,,,1,2021.0,1,6,monolith,Выборгский,Проспект Просвещения,60.062759,30.291344
26.8,13.9,55.9,3,12000000,2,,,,,,,,3,,0,24,monolithBrick,Невский,Улица Дыбенко,59.898828,30.458682
48.0,11.0,75.9,6,12500000,3,,,,,,,,1,1913.0,0,6,brick,Адмиралтейский,Нарвская,59.903706,30.274222
0.0,10.0,57.0,19,12900000,2,,,,,,,,1,2018.0,1,19,panel,Приморский,Комендантский проспект,60.033153,30.236448
14.5,12.8,35.3,11,14450000,1,,,,,,,,1,2021.0,1,13,monolith,Василеостровский,Приморская,59.938486,30.196437
63.0,15.0,100.0,5,14800000,4,,,,,,,,1,1989.0,1,12,panel,Приморский,Комендантский проспект,60.021982,30.233529
78.4,0.0,135.9,16,28700000,4,,,,,,,,1,2004.0,1,17,monolith,Василеостровский,Приморская,59.954773,30.214808
45.0,6.0,60.0,6,10900000,3,,,,,,,,1,,0,9,brick,Калининский,Академическая,60.001203,30.395315
21.2,7.5,37.0,10,7499000,1,,,,,,,,1,1974.0,1,14,brick,Невский,Проспект Большевиков,59.91867,30.489818
66.0,10.0,97.0,4,9800000,4,,,,,,,,0,1956.0,0,5,brick,Колпинский,Рыбацкое,59.786432,30.625428
15.5,8.0,31.0,3,6500000,1,,,,,,,,1,1973.0,0,9,panel,Фрунзенский,Купчино,59.839362,30.381328
23.0,10.0,47.0,7,6640000,1,,,,,,,,1,2007.0,1,9,panel,Петродворцовый,Проспект Ветеранов,59.905845,29.777714
17.3,5.6,31.5,4,6200000,1,,,,,,,,0,1959.0,0,5,brick,Кировский,Нарвская,59.896783,30.267368
18.0,0.0,24.03,5,6450000,0,,,,,,,,2,,1,10,monolithBrick,Невский,Ломоносовская,59.880261,30.428355
43.0,6.2,59.0,7,8300000,3,,,,,,,,1,1973.0,0,9,panel,Кировский,,59.826972,30.201881
18.0,4.0,27.1,2,6950000,1,,,,,,,,1,1912.0,0,6,brick,Адмиралтейский,Балтийская,59.904423,30.291614
46.9,7.5,69.1,2,12000000,3,,,,,,,,0,1955.0,0,5,brick,Калининский,Выборгская,59.970564,30.38529
0.0,0.0,50.0,1,10990000,2,,,,,,,,0,1894.0,0,5,brick,Петроградский,Петроградская,59.965282,30.309265
17.3,0.0,28.7,4,9950000,0,,,,,,,,1,2016.0,0,13,monolith,Красногвардейский,Новочеркасская,59.933988,30.413964
15.3,0.0,28.7,6,5700000,0,,,,,,,,1,2020.0,1,8,monolithBrick,Красносельский,Автово,59.847783,30.105483
55.5,11.5,96.5,7,12500000,3,,,,,,,,0,2009.0,1,8,panel,Красносельский,Ленинский проспект,59.857992,30.172057
26.0,0.0,29.0,23,5999000,0,,,,,,,,1,2017.0,1,23,monolithBrick,Красногвардейский,Ладожская,59.977976,30.436638
57.0,15.4,101.0,6,28700000,3,,,,,,,,1,2012.0,1,19,monolith,Выборгский,Проспект Просвещения,60.052923,30.311951
15.0,0.0,25.7,3,7900000,1,,,,,,,,0,,0,4,brick,Адмиралтейский,Пушкинская,59.917249,30.333772
39.2,6.3,57.9,7,9350000,3,,,,,,,,1,1974.0,0,9,panel,Выборгский,Озерки,60.041179,30.34315
15.6,8.0,31.5,2,4500000,1,,,,,,,,1,1966.0,0,9,panel,Калининский,Площадь Ленина,59.983878,30.422741
20.1,7.1,34.2,2,5150000,1,,,,,,,,0,1971.0,0,5,panel,Калининский,Гражданский проспект,60.045385,30.405637
18.7,7.6,38.0,6,6200000,1,,,,,,,,2,1987.0,2,16,brick,Красногвардейский,Ладожская,59.94179,30.468429
15.1,6.6,29.5,6,5700000,1,,,,,,,,1,1976.0,0,9,panel,Фрунзенский,Проспект Славы,59.847019,30.391048
32.0,6.0,42.0,1,5700000,3,,,,,,,,0,1963.0,0,5,panel,Московский,Московская,59.854346,30.299546
0.0,0.0,19.1,2,3749999,1,,,,,,,,0,,0,3,brick,Кировский,Нарвская,59.898449,30.285442
16.0,0.0,24.0,9,3800000,0,,,,,,,,3,1979.0,0,16,brick,Фрунзенский,Дунайская,59.841523,30.402017
10.5,5.2,24.67,2,3699900,1,,,,,,,,2,,1,26,monolithBrick,Пушкинский,Купчино,59.812193,30.371653
19.0,6.0,32.0,3,5450000,1,,,,,,,,0,1961.0,0,5,panel,Московский,Московская,59.857436,30.296366
15.9,8.9,33.6,21,5500000,1,,,,,,,,1,2013.0,2,23,monolith,Невский,Ломоносовская,59.863513,30.505943
37.7,5.9,49.8,1,5290000,4,,,,,,,,0,1960.0,0,5,,Московский,Московская,59.846753,30.316847
19.5,0.0,22.1,8,3400000,0,,,,,,,,2,,2,20,monolith,Выборгский,Парнас,60.071358,30.343617
26.0,8.9,46.8,8,4500000,2,,,,,,,,1,,0,9,brick,Пушкинский,,59.758708,30.470073
17.0,12.0,45.0,12,7500000,1,,,,,,,,1,2018.0,1,19,monolith,Василеостровский,Приморская,59.936999,30.204055
0.0,0.0,26.0,2,4750000,0,,,,,,,,0,1951.0,0,6,brick,Петроградский,Петроградская,59.964237,30.313497
18.0,6.0,32.0,7,6600000,1,,,,,,,,1,1981.0,0,9,panel,Красносельский,Ленинский проспект,59.847295,30.189709
18.0,9.7,39.8,30,7999999,1,,,,,,,,4,2012.0,0,36,monolith,Невский,Рыбацкое,59.846075,30.485452
0.0,0.0,27.2,2,5000000,1,,,,,,,,0,2014.0,0,4,,Выборгский,Парнас,60.075447,30.319587
19.7,7.1,36.5,5,7000000,1,,,,,,,,1,1988.0,0,9,brick,Выборгский,Озерки,60.035346,30.344435
0.0,0.0,12.8,3,2850000,0,,,,,,,,0,1862.0,0,5,brick,Центральный,Маяковская,59.933018,30.347435
17.0,0.0,24.6,11,3940000,1,,,,,,,,1,,1,11,monolithBrick,Колпинский,Рыбацкое,59.773461,30.607371
15.7,6.9,29.6,2,4800000,1,,,,,,,,1,1976.0,0,9,panel,Колпинский,Шушары,59.738548,30.576424
13.0,5.0,23.2,3,5000000,1,,,,,,,,1,1964.0,0,9,panel,Кировский,Ленинский проспект,59.845496,30.278992
17.8,8.3,36.7,7,7800000,1,,,,,,,,1,1990.0,0,10,panel,Приморский,Беговая,59.988469,30.21523
25.0,15.0,49.6,15,6650000,1,,,,,,,,0,,0,19,panel,Приморский,Комендантский проспект,60.033976,30.237427
30.0,10.0,50.0,13,7000000,1,,,,,,,,2,1989.0,1,14,brick,Фрунзенский,Международная,59.876364,30.40658
18.0,6.0,31.0,4,5500000,1,,,,,,,,0,1966.0,0,5,panel,Фрунзенский,Международная,59.862583,30.371106
16.0,8.0,31.2,9,5750000,1,,,,,,,,1,1968.0,0,9,panel,Калининский,Академическая,60.015224,30.40269
16.0,9.0,38.0,10,7300000,1,,,,,,,,4,2011.0,0,27,monolith,Выборгский,Парнас,60.070276,30.335047
27.2,6.0,42.4,5,6800000,2,,,,,,,,0,1963.0,0,5,panel,Московский,Парк Победы,59.862289,30.350283
0.0,6.0,31.0,2,6100000,1,,,,,,,,0,1961.0,0,5,panel,Московский,Московская,59.856944,30.299213
16.3,6.1,32.0,4,5300000,1,,,,,,,,0,1969.0,0,5,brick,Красногвардейский,Академическая,60.002607,30.448432
14.0,0.0,14.0,2,2800000,0,,,,,,,,0,1846.0,0,5,brick,Адмиралтейский,Нарвская,59.912865,30.270925
16.1,3.7,25.5,8,5590000,1,,,,,,,,1,1965.0,0,9,panel,Кировский,Ленинский проспект,59.843575,30.273009
27.5,6.0,44.5,2,7300000,2,,,,,,,,1,1974.0,0,9,panel,Невский,Улица Дыбенко,59.911498,30.473585
26.8,5.8,42.2,5,7000000,2,,,,,,,,1,,0,7,,Калининский,Политехническая,60.013528,30.423387
18.9,10.3,40.0,10,7800000,1,,,,,,,,1,2006.0,1,10,panel,Красногвардейский,Ладожская,59.936927,30.494651
28.4,5.8,44.61,3,6600000,2,,,,,,,,0,1964.0,0,5,panel,Красногвардейский,Ладожская,59.957692,30.423792
18.0,6.0,32.0,5,7700000,1,,,,,,,,0,1963.0,0,5,brick,Василеостровский,Приморская,59.942182,30.233897
15.5,13.0,41.9,7,7950000,1,,,,,,,,3,2006.0,1,16,brick,Калининский,Лесная,59.979952,30.393959
18.0,0.0,28.0,14,6200000,0,,,,,,,,2,2014.0,1,15,monolith,Невский,Новочеркасская,59.916284,30.439548
12.8,22.0,49.5,7,7995000,2,,,,,,,,1,2018.0,1,19,panel,Приморский,Комендантский проспект,60.035342,30.232028
15.6,9.4,32.0,25,7790000,1,,,,,,,,4,2014.0,1,25,monolith,Московский,Московская,59.821449,30.327519
0.0,0.0,36.6,5,8000000,1,,,,,,,,1,2016.0,1,16,monolith,Калининский,Выборгская,59.978899,30.374393
16.0,11.0,40.0,9,7700000,1,,,,,,,,1,2004.0,1,9,panel,Кировский,Проспект Ветеранов,59.830843,30.205941
17.5,6.0,31.5,3,5640000,1,,,,,,,,0,1972.0,0,5,,Невский,Проспект Большевиков,59.920438,30.485838
17.9,6.3,31.3,3,6250000,1,,,,,,,,1,1978.0,0,9,panel,Приморский,Пионерская,60.013735,30.283277
17.0,6.0,35.0,2,7200000,1,,,,,,,,1,1971.0,0,9,brick,Фрунзенский,Международная,59.869634,30.387994
0.0,0.0,30.0,8,4370000,1,,,,,,,,1,,1,12,block,Пушкинский,Купчино,59.806174,30.358071
0.0,0.0,23.0,2,4300000,0,,,,,,,,0,1843.0,0,4,brick,Адмиралтейский,Садовая,59.925187,30.307837
15.0,5.0,25.0,19,5000000,0,,,,,,,,1,2013.0,1,20,,Приморский,Беговая,60.003007,30.203857
23.0,0.0,32.0,11,7100000,0,,,,,,,,4,2004.0,0,22,monolith,Красногвардейский,Ладожская,59.952105,30.483476
18.0,7.0,30.5,1,5900000,1,,,,,,,,0,1964.0,0,5,panel,Калининский,Академическая,59.999827,30.389692
16.0,0.0,26.7,3,6000000,0,,,,,,,,3,2015.0,1,26,monolithBrick,Выборгский,Парнас,60.069804,30.326127
0.0,11.1,37.01,5,6150000,1,,,,,,,,2,,1,20,monolith,Красногвардейский,Ладожская,59.956832,30.449978
19.8,10.1,38.2,2,6450000,1,,,,,,,,1,1984.0,1,12,panel,Красногвардейский,Проспект Большевиков,59.937522,30.478616
15.9,11.6,36.0,13,6750000,1,,,,,,,,1,2021.0,1,23,monolith,Красногвардейский,Ладожская,59.956832,30.449978
17.2,10.7,37.2,8,7200000,1,,,,,,,,1,1999.0,1,16,brick,Кировский,Проспект Ветеранов,59.831377,30.193904
17.0,9.0,31.0,2,7600000,1,,,,,,,,2,,1,25,panel,Московский,Звездная,59.819196,30.327627
18.3,10.0,45.1,8,8000000,1,,,,,,,,1,2014.0,1,16,monolithBrick,Невский,Новочеркасская,59.918774,30.434293
0.0,0.0,27.0,14,8099000,1,,,,,,,,4,2017.0,2,26,monolith,Невский,Пролетарская,59.861715,30.452529
11.2,14.4,35.5,9,5650000,1,,,,,,,,0,,0,15,,Московский,Звездная,59.814206,30.343958
14.4,8.0,28.5,1,6500000,1,,,,,,,,0,1966.0,0,9,brick,Московский,Звездная,59.838557,30.345504
38.3,5.2,54.6,5,6900000,3,,,,,,,,0,1968.0,0,5,brick,Пушкинский,Купчино,59.738135,30.419183
15.3,10.5,35.0,13,7490000,1,,,,,,,,1,2008.0,1,16,monolithBrick,Московский,Купчино,59.844682,30.365653
28.1,5.2,43.8,1,7500000,2,,,,,,,,0,1962.0,0,5,panel,Московский,Московская,59.841405,30.331337
0.0,8.9,36.28,2,7750000,1,,,,,,,,1,2018.0,1,24,,Приморский,Комендантский проспект,60.027494,30.253974
17.8,6.3,32.2,8,5500000,1,,,,,,,,1,1980.0,0,9,panel,Красносельский,Автово,59.847955,30.193491
20.0,5.0,25.4,11,7200000,0,,,,,,,,0,,0,15,brick,Невский,Новочеркасская,59.913158,30.422363
0.0,0.0,26.0,3,4650000,0,,,,,,,,0,,0,6,,Петроградский,Горьковская,59.958994,30.32751
18.7,9.1,38.5,13,7749000,1,,,,,,,,1,2005.0,1,17,monolithBrick,Невский,Пролетарская,59.860667,30.497966
0.0,0.0,27.0,11,4800000,0,,,,,,,,4,2015.0,1,25,monolithBrick,Пушкинский,Купчино,59.811609,30.364045
0.0,0.0,24.0,16,5000000,0,,,,,,,,1,2016.0,0,23,monolith,Московский,Звездная,59.831453,30.327681
0.0,0.0,32.0,2,5300000,1,,,,,,,,0,1960.0,0,3,brick,Пушкинский,,59.701496,30.405152
17.4,5.7,31.5,1,5300000,1,,,,,,,,0,1968.0,0,5,panel,Кировский,Проспект Ветеранов,59.826614,30.22883
0.0,5.5,32.0,5,5800000,1,,,,,,,,0,1966.0,0,5,brick,Кировский,Проспект Ветеранов,59.835907,30.262059
0.0,4.0,29.5,2,6000000,1,,,,,,,,2,2018.0,2,18,brick,Пушкинский,Купчино,59.810478,30.377475
17.8,6.2,30.5,4,6390000,1,,,,,,,,1,1980.0,0,9,panel,Выборгский,Проспект Просвещения,60.063716,30.311996
26.4,6.1,42.4,3,6599000,2,,,,,,,,0,1964.0,0,5,panel,Московский,Купчино,59.846152,30.360263
20.2,8.5,40.5,4,7000000,1,,,,,,,,1,1999.0,1,16,block,Калининский,Проспект Просвещения,60.047483,30.379127
18.2,8.5,34.0,8,7300000,1,,,,,,,,1,,0,9,brick,Кировский,Проспект Ветеранов,59.829183,30.223503
30.2,7.1,44.5,1,7700000,2,,,,,,,,0,1968.0,0,5,panel,Калининский,Академическая,60.017499,30.404289
15.0,10.0,35.0,9,7600000,1,,,,,,,,3,2018.0,3,33,monolith,Невский,Рыбацкое,59.831761,30.546789
30.4,5.5,50.8,2,8100000,2,,,,,,,,0,1958.0,0,3,brick,Пушкинский,,59.685044,30.43114
18.2,0.0,24.4,16,5850000,0,,,,,,,,1,,1,25,monolith,Приморский,Комендантский проспект,60.039076,30.227959
15.0,10.0,37.0,7,7000000,1,,,,,,,,0,,1,8,brick,Курортный,Озерки,60.117862,30.17044
0.0,0.0,40.0,9,7550000,1,,,,,,,,1,2016.0,1,19,monolith,Красносельский,Ленинский проспект,59.852972,30.148108
17.3,8.4,33.0,9,7650000,1,,,,,,,,1,1991.0,0,10,panel,Красносельский,Автово,59.85872,30.212212
19.0,6.0,32.0,3,4250000,1,,,,,,,,0,1966.0,0,5,brick,Колпинский,Рыбацкое,59.807477,30.581293
11.0,13.9,32.4,4,6800000,1,,,,,,,,1,2022.0,1,13,panel,Красногвардейский,Академическая,60.007627,30.451388
15.6,10.2,36.0,16,7500000,1,,,,,,,,2,2021.0,1,24,monolith,Приморский,,60.037935,30.232855
44.0,6.0,60.0,1,7700000,3,,,,,,,,1,1972.0,0,9,panel,Калининский,Гражданский проспект,60.035194,30.389467
27.0,8.0,48.0,2,8000000,2,,,,,,,,2,1984.0,0,16,panel,Красносельский,Ленинский проспект,59.852547,30.211089
0.0,0.0,25.0,3,6000000,0,,,,,,,,2,2008.0,1,10,brick,Калининский,Гражданский проспект,60.036677,30.393662
24.2,3.0,28.0,7,6200000,0,,,,,,,,4,2012.0,2,36,monolith,Невский,Рыбацкое,59.846075,30.485452
29.0,5.6,45.1,5,7150000,2,,,,,,,,0,1964.0,0,5,panel,Московский,Парк Победы,59.86406,30.354981
25.0,0.0,40.0,6,7999000,0,,,,,,,,1,2017.0,1,14,monolithBrick,Невский,Рыбацкое,59.834067,30.522903
30.0,8.0,46.5,9,7800000,2,,,,,,,,1,1977.0,0,9,panel,Выборгский,Озерки,60.038519,30.344578
20.4,9.2,42.9,3,8000000,1,,,,,,,,0,2011.0,1,6,brick,Пушкинский,,59.69618,30.415446
19.4,5.2,32.0,1,7500000,1,,,,,,,,1,1964.0,0,9,brick,Выборгский,Площадь Мужества,60.002265,30.347642
18.7,7.4,33.5,13,6000000,1,,,,,,,,2,2020.0,1,25,monolith,Красногвардейский,,60.003331,30.479083
18.0,5.0,25.0,4,6500000,0,,,,,,,,3,2017.0,0,27,monolith,Приморский,Комендантский проспект,60.041099,30.221608
20.0,5.0,26.4,3,5600000,0,,,,,,,,2,,2,25,monolith,Выборгский,Парнас,60.071438,30.312428
19.5,0.0,21.9,2,3600000,0,,,,,,,,0,,0,3,,Невский,Елизаровская,59.891864,30.43936
14.7,13.3,40.5,21,6990000,1,,,,,,,,3,2014.0,0,28,monolith,Выборгский,Парнас,60.078329,30.342135
0.0,7.0,50.0,2,7100000,2,,,,,,,,0,1969.0,0,5,panel,Красносельский,Проспект Ветеранов,59.838218,30.170296
0.0,0.0,29.0,3,7250000,1,,,,,,,,1,1913.0,0,6,brick,Фрунзенский,Обводный канал,59.911854,30.358098
31.5,8.3,48.2,5,7890000,2,,,,,,,,1,1965.0,0,9,brick,Фрунзенский,Проспект Славы,59.856474,30.368105
25.0,8.0,45.7,8,7900000,2,,,,,,,,1,1972.0,0,9,panel,Калининский,Гражданский проспект,60.036686,30.395297
21.6,7.5,40.0,9,8000000,1,,,,,,,,1,1972.0,1,14,brick,Фрунзенский,Международная,59.866599,30.367872
11.0,17.0,35.0,22,7350000,1,,,,,,,,2,,2,24,monolithBrick,Приморский,Комендантский проспект,60.033773,30.214826
9.0,2.0,11.5,1,3180000,0,,,,,,,,0,,0,4,brick,Василеостровский,Василеостровская,59.932432,30.273522
31.0,5.6,40.2,2,6100000,3,,,,,,,,0,1960.0,0,5,panel,Кировский,Автово,59.865334,30.272758
16.8,6.0,24.6,10,5800000,0,,,,,,,,2,2016.0,1,26,monolith,Невский,Улица Дыбенко,59.892518,30.451406
16.0,10.0,36.0,5,6200000,1,,,,,,,,2,2015.0,0,18,monolithBrick,Колпинский,,59.813527,30.566777
34.1,11.3,58.0,1,7599000,2,,,,,,,,1,2009.0,0,8,,Красносельский,,59.720249,30.082396
15.0,10.0,30.0,3,5650000,1,,,,,,,,2,,1,25,,Красногвардейский,,60.003997,30.480862
20.0,12.0,41.0,25,6990000,1,,,,,,,,2,2017.0,1,25,monolithBrick,Выборгский,Проспект Просвещения,60.046203,30.363084
16.5,8.2,31.5,7,6000000,1,,,,,,,,1,1973.0,0,9,panel,Выборгский,Проспект Просвещения,60.047694,30.367916
17.0,6.0,31.0,3,6500000,1,,,,,,,,0,1964.0,0,5,panel,Московский,Купчино,59.848439,30.362509
11.7,8.4,31.0,1,6150000,1,,,,,,,,1,2017.0,0,25,,Приморский,,60.037674,30.250668
22.0,9.0,33.2,5,7500000,1,,,,,,,,0,1985.0,0,5,brick,Пушкинский,Купчино,59.739078,30.395279
0.0,0.0,31.8,3,4750000,1,,,,,,,,0,,0,5,stalin,Кронштадтский,,59.986619,29.785449
0.0,0.0,26.0,19,90000,0,,,,,,,,2,2019.0,2,26,panel,Фрунзенский,Дунайская,59.834515,30.401846
13.0,0.0,23.0,8,5550000,0,,,,,,,,1,2021.0,1,13,monolith,Приморский,Комендантский проспект,60.031751,30.199958
21.0,6.5,35.0,8,7600000,1,,,,,,,,1,1971.0,0,9,brick,Фрунзенский,Проспект Славы,59.870339,30.411197
31.2,5.6,50.5,4,7780000,2,,,,,,,,1,1967.0,0,9,panel,Красногвардейский,,59.973825,30.424645
0.0,0.0,17.0,3,3400000,0,,,,,,,,0,1887.0,0,4,brick,Центральный,Площадь Восстания,59.933131,30.377304
17.1,12.2,38.0,17,6290000,1,,,,,,,,1,,2,25,monolithBrick,Выборгский,Проспект Просвещения,60.073912,30.243096
15.0,10.0,37.0,3,5700000,1,,,,,,,,2,,1,16,brick,Невский,Пролетарская,59.866287,30.511719
0.0,0.0,44.5,6,5850000,1,,,,,,,,0,,0,14,,Выборгский,,60.069643,30.234615
14.4,0.0,22.5,14,7000000,0,,,,,,,,1,2021.0,1,16,monolith,Красногвардейский,Площадь Ленина,59.970303,30.418851
0.0,0.0,24.7,12,6300000,0,,,,,,,,3,2016.0,0,26,monolith,Невский,Ломоносовская,59.892518,30.451406
15.0,10.0,35.0,5,7990000,1,,,,,,,,1,2017.0,0,9,monolithBrick,Приморский,Комендантский проспект,60.041242,30.222964
27.9,4.8,41.6,4,5999999,2,,,,,,,,0,1962.0,0,5,brick,Курортный,Озерки,60.117987,30.186645
31.0,5.5,45.0,5,7450000,2,,,,,,,,0,1967.0,0,5,panel,Фрунзенский,Международная,59.872096,30.39713
18.0,5.0,28.0,10,6250000,0,,,,,,,,0,,0,10,monolith,Красносельский,Проспект Ветеранов,59.842024,30.116559
32.0,7.2,52.6,2,5500000,2,,,,,,,,0,,0,2,brick,Петродворцовый,,59.861087,29.929817
20.0,0.0,32.0,19,6200000,0,,,,,,,,1,2021.0,1,20,monolith,Выборгский,Парнас,60.071254,30.31135
13.0,5.0,24.0,6,5400000,1,,,,,,,,1,1965.0,0,9,panel,Кировский,Ленинский проспект,59.842241,30.271123
14.9,11.0,32.7,23,6300000,1,,,,,,,,3,2018.0,1,27,monolithBrick,Невский,Рыбацкое,59.827713,30.552978
24.0,0.0,30.0,11,8000000,0,,,,,,,,4,,4,12,monolith,Выборгский,Площадь Мужества,59.999584,30.359203
20.6,9.4,43.47,1,7150000,0,,,,,,,,1,2018.0,0,4,monolith,Пушкинский,,59.753858,30.369471
31.4,10.4,55.3,2,7990000,2,,,,,,,,2,1981.0,1,12,panel,Красногвардейский,Ладожская,59.950614,30.477924
13.6,5.0,20.0,6,4999999,0,,,,,,,,2,2020.0,2,15,monolithBrick,Василеостровский,Приморская,59.931336,30.200846
16.6,8.2,34.4,11,7400000,1,,,,,,,,2,2012.0,2,26,monolith,Красносельский,Ленинский проспект,59.861015,30.191514
14.5,12.0,29.0,2,5280000,1,,,,,,,,0,1962.0,0,5,panel,Курортный,Беговая,60.101481,29.969819
18.0,6.0,32.0,4,5700000,1,,,,,,,,0,1970.0,0,5,brick,Пушкинский,,59.732856,30.410595
18.0,9.5,36.0,2,7650000,1,,,,,,,,2,,1,15,monolith,Невский,Улица Дыбенко,59.89552,30.463506
31.0,0.0,34.0,5,5950000,0,,,,,,,,0,2008.0,1,8,brick,Красногвардейский,Ладожская,59.965304,30.49095
18.9,7.0,32.5,6,6500000,1,,,,,,,,1,1975.0,0,9,panel,Невский,Улица Дыбенко,59.902465,30.470549
0.0,0.0,43.7,3,6500000,2,,,,,,,,0,1964.0,0,5,panel,Петродворцовый,,59.906765,29.776789
17.0,7.5,31.0,1,6500000,1,,,,,,,,2,1980.0,0,12,monolith,Выборгский,Проспект Просвещения,60.045843,30.328543
9.3,16.6,41.58,4,6990000,1,,,,,,,,2,2022.0,2,26,monolith,Выборгский,Парнас,60.086483,30.355223
25.0,5.4,40.4,3,7000000,3,,,,,,,,0,1963.0,0,5,panel,Московский,Московская,59.854346,30.299546
29.7,8.0,46.4,4,7400000,2,,,,,,,,1,1968.0,0,9,brick,Кировский,Проспект Ветеранов,59.828577,30.214152
17.3,10.2,37.5,4,7500000,1,,,,,,,,1,2017.0,1,12,monolith,Красносельский,Проспект Ветеранов,59.841975,30.113127
0.0,0.0,33.6,6,6400000,1,,,,,,,,1,1974.0,0,9,panel,Выборгский,Проспект Просвещения,60.046998,30.37442
0.0,0.0,23.0,3,5200000,0,,,,,,,,0,1873.0,0,4,brick,Центральный,Звенигородская,59.920546,30.341156
0.0,6.0,29.0,8,6000000,1,,,,,,,,1,1974.0,0,9,panel,Фрунзенский,Дунайская,59.845903,30.39686
10.3,16.3,36.8,3,6700000,1,,,,,,,,2,2018.0,1,23,monolith,Красногвардейский,Девяткино,60.034879,30.45446
0.0,0.0,26.0,13,6900000,0,,,,,,,,2,2015.0,0,18,brick,Московский,Московская,59.842237,30.306292
16.0,5.0,22.0,4,7300000,0,,,,,,,,2,2019.0,1,25,monolithBrick,Приморский,Беговая,60.002036,30.212238
17.0,10.0,37.0,17,7150000,1,,,,,,,,1,2019.0,0,24,monolith,Выборгский,Парнас,60.072027,30.318491
18.0,2.0,21.0,2,4050000,0,,,,,,,,1,1875.0,0,4,brick,Центральный,Площадь Восстания,59.927554,30.356373
16.9,10.1,42.6,16,6100000,1,,,,,,,,1,2008.0,1,16,panel,Красносельский,Проспект Ветеранов,59.791313,30.151476
27.9,5.1,42.2,5,7000000,2,,,,,,,,0,1966.0,0,5,brick,Пушкинский,,59.731568,30.413838
27.0,6.1,44.0,5,5900000,2,,,,,,,,1,1982.0,0,9,panel,Петродворцовый,,59.895434,29.769216
17.2,8.1,35.0,4,7500000,1,,,,,,,,1,2016.0,1,12,monolith,Красносельский,,59.837702,30.11363
28.7,7.0,46.1,7,7500000,2,,,,,,,,1,1974.0,0,9,panel,Фрунзенский,Дунайская,59.835324,30.393878
14.2,13.0,34.0,23,7000000,1,,,,,,,,3,2012.0,0,27,monolith,Выборгский,Парнас,60.073167,30.332011
27.0,9.4,46.5,24,8000000,2,,,,,,,,2,2017.0,1,25,monolith,Пушкинский,Купчино,59.810093,30.367872
27.0,5.0,43.0,1,8000000,2,,,,,,,,0,1962.0,0,5,brick,Красногвардейский,Новочеркасская,59.959782,30.415949
17.0,0.0,30.6,2,8100000,1,,,,,,,,0,1961.0,0,5,brick,Василеостровский,Приморская,59.95079,30.239107
25.6,7.1,44.8,4,7100000,2,,,,,,,,1,1981.0,0,9,brick,Красносельский,,59.84268,30.149949
0.0,0.0,35.0,19,7500000,1,,,,,,,,3,2017.0,1,26,monolith,Невский,,59.828188,30.554425
15.3,10.1,32.9,1,5910000,1,,,,,,,,0,,0,5,,Московский,,59.760752,30.319309
18.5,6.5,32.2,9,7000000,1,,,,,,,,1,,0,9,panel,Невский,Ломоносовская,59.879895,30.456913
15.0,2.0,19.0,2,3790000,0,,,,,,,,0,1879.0,0,4,brick,Центральный,Звенигородская,59.923523,30.33626
28.0,6.0,42.0,2,5700000,3,,,,,,,,0,1963.0,0,4,panel,Колпинский,Купчино,59.750875,30.566112
13.3,8.9,33.2,5,6900000,1,,,,,,,,1,2017.0,1,12,monolithBrick,Приморский,Беговая,60.031014,30.137921
39.4,6.2,61.0,7,7600000,3,,,,,,,,1,1975.0,0,9,panel,Колпинский,,59.740212,30.573945
17.4,6.0,31.5,5,6600000,1,,,,,,,,0,1963.0,0,5,panel,Красногвардейский,Новочеркасская,59.976877,30.422292
20.0,10.0,40.0,10,7500000,1,,,,,,,,1,1987.0,1,16,panel,Красносельский,Ленинский проспект,59.857902,30.189484
30.0,8.6,51.4,5,7500000,2,,,,,,,,2,1987.0,0,14,panel,Колпинский,,59.738811,30.620568
0.0,0.0,31.8,10,7900000,0,,,,,,,,3,,2,13,,Приморский,Черная речка,59.990242,30.292584
20.0,6.0,32.0,1,3850000,1,,,,,,,,0,,0,2,brick,Курортный,,60.210096,29.514921
19.5,0.0,29.0,11,6900000,0,,,,,,,,1,2013.0,1,23,monolith,Приморский,Пионерская,59.998324,30.300965
16.9,10.7,42.5,13,7799000,1,,,,,,,,4,2011.0,0,26,monolith,Выборгский,Парнас,60.071416,30.326414
25.0,5.0,36.0,1,6200000,1,,,,,,,,0,1958.0,0,3,monolith,Московский,Московская,59.810609,30.298773
16.0,0.0,26.0,7,3490000,0,,,,,,,,1,2022.0,1,12,monolith,Пушкинский,,59.755331,30.468977
11.3,3.4,20.8,19,4800000,0,,,,,,,,0,,0,25,monolithBrick,Выборгский,Парнас,60.08568,30.347884
27.3,0.0,27.3,11,5750000,0,,,,,,,,1,2015.0,1,19,panel,Выборгский,Парнас,60.071658,30.321743
17.2,7.7,37.3,4,7600000,1,,,,,,,,0,1984.0,0,5,brick,Курортный,,60.198851,29.711841
