"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
20.0,10.2,38.7,7,7499000,1,Вторичка,,,1 раздельный,Косметический,,,2,1986.0,0,16,panel,Красносельский,Проспект Ветеранов,59.856921,30.215059
18.2,0.0,25.8,8,3600000,0,,,,,,,,3,,1,25,monolith,Пушкинский,Купчино,59.812387,30.367153
25.0,14.0,57.0,5,7500000,1,,,,,,,,0,1999.0,0,5,panel,Кировский,Проспект Ветеранов,59.827655,30.224294
21.4,10.3,41.2,12,12990000,1,,,,,,,,1,2021.0,1,12,monolithBrick,Выборгский,Лесная,59.97857,30.333772
15.1,21.8,57.5,1,13900000,1,Вторичка,,"2,75 м",1 раздельный,Косметический,На улицу и двор,1 балкон,1,2014.0,1,15,monolith,Невский,Ладожская,59.916284,30.439548
64.0,40.0,120.0,2,50990000,3,,,,,,,,1,2019.0,1,8,monolith,Петроградский,Чкаловская,59.965007,30.283798
51.7,12.8,83.2,2,23800000,3,,,,,,,,1,2016.0,1,19,monolith,Адмиралтейский,Фрунзенская,59.904189,30.314808
19.5,11.4,40.5,4,13490000,1,,,,,,,,1,2022.0,1,12,monolith,Выборгский,Лесная,59.97857,30.333772
15.3,4.6,28.08,1,4900000,0,,,,,,,,1,,1,4,monolithBrick,Пушкинский,Московская,59.752879,30.366479
43.5,13.9,82.8,11,21000000,2,,,,,,,,1,2021.0,2,24,monolithBrick,Московский,Московская,59.855331,30.319839
0.0,0.0,29.2,9,5400000,1,,,,,,,,1,1971.0,0,9,panel,Невский,Улица Дыбенко,59.911683,30.496645
16.0,10.0,36.0,9,5690000,1,,,,,,,,1,2009.0,1,9,panel,Выборгский,Проспект Просвещения,60.10963,30.267233
50.0,70.0,185.0,5,148000000,3,Вторичка,,,,Дизайнерский,На улицу и двор,1 балкон,2,2017.0,1,10,monolith,Петроградский,Крестовский остров,59.962719,30.267485
51.7,18.0,95.0,12,20400000,3,,,,,,,,2,2005.0,0,14,monolith,Московский,Звездная,59.839108,30.350795
0.0,0.0,177.0,12,52000000,4,,,,,,,,2,2008.0,1,25,monolith,Кировский,Проспект Ветеранов,59.851259,30.240338
72.7,11.0,133.2,3,29900000,4,,,,,,,,0,2012.0,0,5,monolith,Пушкинский,,59.685835,30.436871
33.1,13.6,63.5,3,18600000,2,,,,,,,,0,,1,8,,Выборгский,Проспект Просвещения,60.050183,30.331705
26.1,6.3,45.4,1,6900000,2,,,,,,,,0,1964.0,0,5,panel,Красногвардейский,Ладожская,59.95789,30.426729
20.1,9.4,38.7,11,8400000,1,,,,,,,,1,1981.0,1,12,panel,Фрунзенский,Дунайская,59.847141,30.413749
15.6,11.2,41.3,23,9500000,1,,,,,,,,3,2014.0,0,25,monolith,Фрунзенский,Проспект Славы,59.856045,30.40269
15.7,10.5,40.0,11,8090000,1,,,,,,,,1,2011.0,1,16,monolith,Приморский,Беговая,60.000393,30.208034
16.5,5.0,24.0,9,4800000,0,,,,,,,,2,2020.0,1,19,monolith,Приморский,Комендантский проспект,60.033158,30.238514
46.7,13.6,76.02,1,14500000,3,,,,,,,,1,,1,19,monolith,Калининский,Лесная,59.987992,30.369704
35.2,19.6,76.0,3,27360000,2,,,,,,,,2,2015.0,0,10,monolithBrick,Василеостровский,Спортивная,59.94969,30.262796
14.0,16.0,42.0,19,11980000,1,,,,,,,,2,2021.0,1,24,monolithBrick,Московский,Московская,59.853338,30.344605
22.0,7.0,36.0,4,7400000,1,,,,,,,,2,1969.0,2,12,brick,Московский,Московская,59.849225,30.303498
28.0,9.0,54.0,1,11700000,2,,,,,,,,0,1871.0,0,5,brick,Центральный,Владимирская,59.926233,30.352627
14.2,8.4,33.2,5,6900000,1,,,,,,,,1,1985.0,1,12,panel,Красногвардейский,Ладожская,59.950366,30.471465
17.9,11.9,44.1,8,13900000,1,,,,,,,,2,2017.0,0,14,,Петроградский,Петроградская,59.975648,30.315904
0.0,0.0,96.0,4,21700000,2,,,,,,,,1,1880.0,0,6,brick,Центральный,Площадь Восстания,59.934411,30.361565
18.0,9.0,40.2,4,6500000,1,,,,,,,,1,1984.0,0,6,panel,Пушкинский,,59.73482,30.400642
19.8,9.1,44.0,9,7950000,1,,,,,,,,2,1977.0,1,16,brick,Курортный,Беговая,60.10463,29.974589
33.2,13.5,63.0,25,15700000,2,,,,,,,,1,2016.0,2,25,monolith,Фрунзенский,Проспект Славы,59.856329,30.407667
0.0,0.0,64.8,1,17350000,3,,,,,,,,0,1949.0,0,2,brick,Кировский,Кировский завод,59.875759,30.266649
27.7,11.5,46.9,4,10000000,1,,,,,,,,2,2013.0,2,26,monolith,Невский,Проспект Большевиков,59.915052,30.47001
18.0,0.0,26.74,19,5490000,0,,,,,,,,3,2017.0,1,20,monolith,Приморский,Комендантский проспект,60.039413,30.224294
17.5,8.5,33.3,8,7100000,1,,,,,,,,0,,0,9,panel,Невский,Рыбацкое,59.838141,30.506437
20.0,10.4,40.7,6,7530000,1,,,,,,,,1,1987.0,1,16,panel,Красносельский,Проспект Ветеранов,59.854287,30.219901
0.0,12.8,64.7,12,7990000,2,,,,,,,,1,2020.0,1,14,monolith,Выборгский,Проспект Просвещения,60.069032,30.235379
15.1,12.0,43.4,10,12800000,1,,,,,,,,1,,1,12,monolith,Приморский,Лесная,59.98507,30.32628
29.0,25.0,72.21,5,25000000,2,,,,,,,,0,,0,15,,Адмиралтейский,Фрунзенская,59.905818,30.315967
77.8,12.2,99.7,1,14000000,3,,,,,,,,0,1917.0,0,5,brick,Фрунзенский,Обводный канал,59.913839,30.343635
29.9,16.3,63.0,5,14500000,2,,,,,,,,0,1929.0,0,5,brick,Центральный,Лиговский проспект,59.920668,30.349753
50.0,20.0,94.0,2,25790000,4,,,,,,,,0,1777.0,0,4,brick,Адмиралтейский,Адмиралтейская,59.931062,30.287086
78.0,15.0,112.0,8,23500000,3,,,,,,,,1,2006.0,1,16,brick,Приморский,Удельная,60.029058,30.29403
15.1,14.4,41.01,7,12000000,1,,,,,,,,0,2021.0,0,12,,Приморский,Комендантский проспект,60.031656,30.209481
26.0,14.5,54.4,13,14500000,2,,,,,,,,2,2020.0,2,26,monolith,Приморский,,60.034542,30.226261
0.0,0.0,75.9,14,15000000,2,,,,,,,,3,2008.0,0,16,monolith,Калининский,Гражданский проспект,60.035836,30.412617
