"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Описание квартиры,Фотографии,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Площадь комнат,Отделка,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Широта,Долгота,"Адрес, введенный пользователем",Город,Округ,Район,Улица,Дом,Станция метро,Близость к метро,Ссылка на объявление,Дата публикации объявления,Тип автора объявления
31.2,37.1,88.6,5,18500000,2,"Прямая продажа от собственника. Услуги агентов по продаже не нужны. Просим агентов, предлагающих услуги, не звонить.

Евро 3-комнатная квартира на 5 этаже: 

37-метровая кухня-гостиная с панорамными окнами во всю стену, выходящими на Ланской сад;

2 уютные спальни с французскими балконами (18,8 м2 и 12,4м2), в одной из спален реализовано остекление углового окна в пол;

Отдельная широкая, не проходная прихожая 9,8 м2;

Гардеробная;

2 санузла.

Квартира в собственности, документы полностью подготовлены к продаже, подходит под ипотеку.

Дом 2021 года постройки, имеет хорошее местоположение недалеко от 4 станций метро (Черная речка, Удельная, Лесная, пл. Мужества), в окружении парки, старая сталинская застройка, много школ, включая частные, в пешей доступности.

Собственная газовая котельная.

Своя система водоочистки и кондиционирования.

Дом подключен к системе Ростелеком (управление домофоном, калитками, тв, интернетом, интеграция с системой ""умный дом"").

Своя закрытая охраняемая внутренняя территория, оборудованные площадки для детей и отдыха.

Выход в парк через калитку без перехода дороги.

Подземный паркинг.

Малоквартирный дом бизнес-класса в стиле сталинский ампир построен при участии Архитектурного бюро 17, строительство завершено в 2021 году.","['https://cdn-p.cian.site/images/88/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277158846-1.jpg', 'https://cdn-p.cian.site/images/49/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159418-1.jpg', 'https://cdn-p.cian.site/images/88/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277158893-1.jpg', 'https://cdn-p.cian.site/images/59/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159596-1.jpg', 'https://cdn-p.cian.site/images/98/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277158929-1.jpg', 'https://cdn-p.cian.site/images/49/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159401-1.jpg', 'https://cdn-p.cian.site/images/49/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159407-1.jpg', 'https://cdn-p.cian.site/images/49/237/621/kvartira-sanktpeterburg-prospekt-engelsa-1267329465-1.jpg', 'https://cdn-p.cian.site/images/49/237/621/kvartira-sanktpeterburg-prospekt-engelsa-1267329494-1.jpg', 'https://cdn-p.cian.site/images/88/983/721/kvartira-sanktpeterburg-prospekt-engelsa-1273898868-1.jpg', 'https://cdn-p.cian.site/images/88/983/721/kvartira-sanktpeterburg-prospekt-engelsa-1273898867-1.jpg', 'https://cdn-p.cian.site/images/49/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159416-1.jpg', 'https://cdn-p.cian.site/images/49/517/721/kvartira-sanktpeterburg-prospekt-engelsa-1277159441-1.jpg']",Вторичка,Смежно-изолированная,"2,8 м",,Без ремонта,На улицу,,,,2,2021,0,7,monolithBrick,59.997477,30.328838,"Россия, Санкт-Петербург, проспект Энгельса, 2",Санкт-Петербург,Светлановское,Выборгский,Энгельса,2,Черная речка,"['Черная речка, 3 минут(ы) на транспорте', 'Лесная, 4 минут(ы) на транспорте', 'Пионерская, 4 минут(ы) на транспорте']",https://spb.cian.ru/sale/flat/271774942/,2022-04-19 19:20:56,realtor_not_commerce
17.5,5.5,31.3,4,8120000,1,"Теплая светлая квартира с удачной планировкой. 

Отличное вложение денежных средств - квартиры на Ваське будут только расти в цене! 

Прямая продажа! Быстрая сделка. 
Квартира без обременений, в собственности более 5 лет. Два взрослых собственника. 

Квартира свободна, продается с мебелью.

В комнате 2 окна на 2 стороны. Солнце весь день! 
Возможна перепланировка: объединение кухни и комнаты или увеличение кухни. 

Зеленый двор. 
Супермаркеты, аптеки, пекарни, кофейни, кондитерские, химчистки в шаговой доступности.

Все виды транспорта!

Помощь агентов в продаже НЕ нужна. Фото НЕ высылаем!","['https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945316-1.jpg', 'https://cdn-p.cian.site/images/48/394/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264938430-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945317-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945319-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945322-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945345-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945328-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945336-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945338-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945361-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945354-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945323-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945372-1.jpg', 'https://cdn-p.cian.site/images/35/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945380-1.jpg', 'https://cdn-p.cian.site/images/45/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945402-1.jpg', 'https://cdn-p.cian.site/images/45/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945425-1.jpg', 'https://cdn-p.cian.site/images/45/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945419-1.jpg', 'https://cdn-p.cian.site/images/45/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945440-1.jpg', 'https://cdn-p.cian.site/images/45/494/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1264945448-1.jpg', 'https://cdn-p.cian.site/images/98/826/621/kvartira-sanktpeterburg-malyy-vasilevskogo-ostrova-prospekt-1266288924-1.jpg']",,,,,,,,,,0,1962,0,5,brick,59.938383,30.240625,"Россия, Санкт-Петербург, Малый проспект Васильевского острова, 67к1",Санкт-Петербург,Гавань,Василеостровский,Малый Васильевского острова,67к1,Приморская,"['Приморская, 15 минут(ы) пешком', 'Василеостровская, 5 минут(ы) на транспорте']",https://spb.cian.ru/sale/flat/271631882/,2022-04-19 13:54:34,realtor_not_commerce
56.0,21.0,97.0,10,24000000,3,"Продажа от собственника!
97 кв.м. + 10 кв.м. лоджия. 
Площадь комнат: спальня 14 кв.м., детская 14 кв.м., кухня-столовая-гостиная 45 кв.м.
Предлагается отличная современная двухсторонняя просторная светлая квартира в уникальном жилом комплексе бизнес-класса. Комплекс ""Морской Фасад""- это город в городе со своей инфраструктурой и отличной транспортной доступностью. 15 минут ходьбы от станции Приморская, и выездом на ЗСД. В шаговой доступности школы, детские сады, секции, школы иностранных языков, магазины, кафе, пицерии, финтес, магазины канцелярии и хоз товаров. Все находится внутри комплекса, комфортно и безопасно и днем и ночью, единое социальное окружение, видеонаблюдение по всему периметру, консьерж, охрана. Дворы закрыты и оборудованы детскими площадками. 
Квартире выполнена перепланировка и дизайнерский ремонт, что позволяет использовать каждый метр площади с пользой. При входе в квартиру имеется большой закрытый двухуровневый гардероб, открытое большое пространство гостиной-столовой-кухни разделено на комфортные зоны. Кухня имеет остров с вытяжкой, что позволяет комфортно готовить, имея большую площадь столешницы, остров имеет функциональные шкафы с двух сторон. 
При кухне есть стол с барными стульями, - это полноценный стол для приема пищи семьей. Зона столовой располагается у окна, стол и мебель гостиной Zalf( Италия), свет - Esedra( Италия). Кухня - премиального немецкого бренда - Rational, оборудована всем необходимым. Паркетная доска Шведской компании Kahrs. В зоне гостиной большой диван, встроенная акустическая система домашнего кинотеатра, потолочные и настенные встроенные колонки Revox. Ванная имеет все необходимое (ванна, душ, гигиенический душ). Душевное ограждение Huppe, смесители Hansgrohe, Joop. В квартире имеется сауна, которую можно переоборудовать под дополнительный гардероб. Отдельное помещение со стиральной машиной и бойлером, шкафами для хранения. Спальня и кухня имеют выход на большую лоджию  с видом на Финский залив. Лоджия не включена в метраж квартиры и имеет площадь 10 кв.м.
Прямая продажа, один взрослый собственник.

Помощь агентств и риелторов не нужна!!!","['https://cdn-p.cian.site/images/25/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145289-1.jpg', 'https://cdn-p.cian.site/images/54/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272144597-1.jpg', 'https://cdn-p.cian.site/images/84/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272144886-1.jpg', 'https://cdn-p.cian.site/images/94/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272144940-1.jpg', 'https://cdn-p.cian.site/images/77/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272147712-1.jpg', 'https://cdn-p.cian.site/images/94/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272144976-1.jpg', 'https://cdn-p.cian.site/images/15/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145170-1.jpg', 'https://cdn-p.cian.site/images/45/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145442-1.jpg', 'https://cdn-p.cian.site/images/75/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145776-1.jpg', 'https://cdn-p.cian.site/images/35/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145330-1.jpg', 'https://cdn-p.cian.site/images/65/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145608-1.jpg', 'https://cdn-p.cian.site/images/95/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272145972-1.jpg', 'https://cdn-p.cian.site/images/16/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146111-1.jpg', 'https://cdn-p.cian.site/images/36/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146393-1.jpg', 'https://cdn-p.cian.site/images/16/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146183-1.jpg', 'https://cdn-p.cian.site/images/26/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146237-1.jpg', 'https://cdn-p.cian.site/images/66/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146619-1.jpg', 'https://cdn-p.cian.site/images/28/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272148251-1.jpg', 'https://cdn-p.cian.site/images/36/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146309-1.jpg', 'https://cdn-p.cian.site/images/36/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146308-1.jpg', 'https://cdn-p.cian.site/images/36/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146310-1.jpg', 'https://cdn-p.cian.site/images/21/512/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272151254-1.jpg', 'https://cdn-p.cian.site/images/48/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272148459-1.jpg', 'https://cdn-p.cian.site/images/36/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272146392-1.jpg', 'https://cdn-p.cian.site/images/69/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272149670-1.jpg', 'https://cdn-p.cian.site/images/17/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272147167-1.jpg', 'https://cdn-p.cian.site/images/17/935/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1275397117-1.jpg', 'https://cdn-p.cian.site/images/51/412/721/kvartira-sanktpeterburg-kapitanskaya-ulica-1272141586-1.jpg']",,,,,,,,,,1,2006,1,17,monolith,59.954773,30.214808,"Россия, Санкт-Петербург, Капитанская улица, 4",Санкт-Петербург,Остров Декабристов,Василеостровский,Капитанская,4,Приморская,"['Приморская, 15 минут(ы) пешком']",https://spb.cian.ru/sale/flat/272052628/,2022-04-19 20:44:25,realtor_not_commerce
18.0,9.2,40.3,15,11500000,1,"Уютная светлая, в отличном состоянии 1-ком. кв. 40,3 м2: кухня 9,2, комната с гардеробной 18, коридор 4,1, санузел 4,7, балкон 4,3. Потолки 2,75 м, 7 минут пешком от ст.м. Академическая, 15 эт. 19-эт. дома. Евроремонт, новая мебель и бытовая техника, все остается в подарок: кондиционер, стиральная машина, холодильник, духовой шкаф с совмещенной микроволновой печью, индукционная варочная панель, сверхтихие мощные вытяжки в кухне и в санузле, посудомоечная машина, ТВ Full HD 40"" в комнате, ТВ Full HD 27"" в кухне и прочие мелочи, все для комфортного проживания, стеклопакеты, теплый пол во всех помещениях, фильтры и терморегулятор воды, гигиенический душ, система полной защиты от протечки воды в кухне и санузле. Высокоскоростной интернет и ТВ, домофон, консъерж, закрытая территория. Парковка внутри двора, шлагбаум с брелка. В жилом комплексе имеется наземная многоуровневая и подземная парковки с платной арендой. Один собственник, без обременений. Ремонт делали для себя.","['https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989730-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989726-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989720-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989729-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989727-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989733-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989728-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989724-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989725-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989731-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989732-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989734-1.jpg', 'https://cdn-p.cian.site/images/79/894/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274989723-1.jpg', 'https://cdn-p.cian.site/images/85/594/721/kvartira-sanktpeterburg-gzhatskaya-ulica-1274955833-1.jpg']",Вторичка,,"2,75 м",,Евроремонт,,,,,1,2012,1,19,monolith,60.011752,30.388434,"Россия, Санкт-Петербург, Гжатская улица, 22к1",Санкт-Петербург,Академическое,Калининский,Гжатская,22к1,Академическая,"['Академическая, 7 минут(ы) пешком', 'Политехническая, 17 минут(ы) пешком', 'Площадь Мужества, 4 минут(ы) на транспорте']",https://spb.cian.ru/sale/flat/272223569/,2022-04-19 14:42:07,realtor_not_commerce
0,0,40.4,3,14900000,1,"Продается уютная однокомнатно квартира, с дизайнерским ремонтом. Квартира продается с мебелью и техникой. Закрытый двор, просторная парадная. В доме есть подземный паркинг. Возможна продажа машино-места (1200000 рублей).
Продажа прямая, без обременений.","['https://cdn-p.cian.site/images/48/262/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262628428-1.jpg', 'https://cdn-p.cian.site/images/55/162/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262615536-1.jpg', 'https://cdn-p.cian.site/images/60/462/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262640637-1.jpg', 'https://cdn-p.cian.site/images/55/162/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262615531-1.jpg', 'https://cdn-p.cian.site/images/62/362/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262632645-1.jpg', 'https://cdn-p.cian.site/images/48/262/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262628438-1.jpg', 'https://cdn-p.cian.site/images/48/262/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262628432-1.jpg', 'https://cdn-p.cian.site/images/62/362/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262632648-1.jpg', 'https://cdn-p.cian.site/images/62/362/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262632646-1.jpg', 'https://cdn-p.cian.site/images/48/262/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262628430-1.jpg', 'https://cdn-p.cian.site/images/62/362/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262632647-1.jpg', 'https://cdn-p.cian.site/images/06/332/621/kvartira-sanktpeterburg-poltavskiy-proezd-1262336038-1.jpg', 'https://cdn-p.cian.site/images/94/042/621/1262404928-1.jpg']",,,,,,,,,,1,2013,0,7,monolith,59.926242,30.366488,"Россия, Санкт-Петербург, Полтавский проезд, 2",Санкт-Петербург,Лиговка-Ямская,Центральный,Полтавский,2,Маяковская,"['Маяковская, 7 минут(ы) пешком', 'Площадь Восстания, 8 минут(ы) пешком', 'Лиговский проспект, 17 минут(ы) пешком']",https://spb.cian.ru/sale/flat/271486345/,2022-04-18 18:33:04,realtor_not_commerce
53.8,6.0,72.7,9,13690000,3,"- Прямая продажа. Свободна. Все выписаны. Один собственник. Никаких обременений.
- 10 минут до метро пешком. Две школы и три детских садика в радиусе 300 метров. Недалеко парк Сосновка и Суздальские озера. Через дорогу поликлиника и Городской  консультативно-диагностический центр 1. В шаговой доступности множество магазинов.
- Чистая парадная. Новый лифт.
- Двухсторонняя. Индивидуальная планировка. Официальная перепланировка из стандартной 4-хкомнатной квартиры домов 504-й серии.
- Металлопластиковые окна с двухкамерными стеклопакетами. Балкон отделан и застеклён алюминиевыми раздвижными рамами.
- Тёплые электрические полы в ванной и кухне.
- Фильтры очистки горячей и холодной воды. Фильтр тонкой очистки воды на кухне.
- Накопительный водонагреватель Electrolux.
- Чугунная ванна (Франции) оборудована раздвижными пластиковыми шторками и смесителем с термостатом. Электрический полотенцесушитель из нержавеющей стали.
- Кухня остаётся и входит в стоимость. Кухня Puustelli со встроенной бытовой техникой: газовая панель Seppelfricke, посудомоечная машина Bosch, духовой шкаф Siemens, СВЧ-печь Siemens, двухкамерный холодильник Siemens, вытяжка из нержавейки.
- Всё БУ, в рабочем состоянии.","['https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912929-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912959-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912931-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912944-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924905-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924937-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924952-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924957-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924936-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912960-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924972-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912995-1.jpg', 'https://cdn-p.cian.site/images/92/190/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270912978-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924981-1.jpg', 'https://cdn-p.cian.site/images/94/290/721/1270924997-1.jpg', 'https://cdn-p.cian.site/images/59/090/721/kvartira-sanktpeterburg-ulica-sikeyrosa-1270909520-1.jpg']",,,,,,,,,,1,1978,0,9,panel,60.03487,30.332945,"Россия, Санкт-Петербург, улица Сикейроса, 15к1",Санкт-Петербург,Сосновское,Выборгский,Сикейроса,15К1,Озерки,"['Озерки, 9 минут(ы) пешком', 'Проспект Просвещения, 4 минут(ы) на транспорте', 'Удельная, 5 минут(ы) на транспорте']",https://spb.cian.ru/sale/flat/271981565/,2022-04-19 12:27:27,realtor_not_commerce
49.7,10.7,80.5,5,15400000,3,"Дом постройки 2005 года, расположен в удалении от ул. Композиторов, что обеспечивает комфорт для проживания. Придомовая территория с парковочными местами огорожена и имеет два выезда со шлагбаумами на ул. Композиторов и ул. Симонова. Удобные выезды во все направления города и пригорода, до метро пр. Просвещения 15 минут пешком. ТСЖ в доме с отличным правлением, которое заинтересовано в качественном обслуживании дома, так-как сами проживают в нем. Двухсторонняя планировка квартиры с изолированными комнатами ((15,99-южная сторона) + (16,27+17,44, кухня 10,73-северная сторона)). Два гардероба, один в детской комнате (остается), второй в спальной комнате. Остается кухонная мебель с техникой (встроенная стиральная машина, встроенный духовой шкаф, варочная керамическая поверхность, вытяжка, измельчитель пищевых отходов в мойке и фильтр питьевой воды через смеситель). В ванной комнате установлена душевая кабина и водонагреватель 100 литров, в туалете смонтированы коллектора на холодную и горячую воду с манометрами и счетчиками воды (еще 3-и года до поверки или замены), есть гигиенический душ. Квартира расположена на 5-м этаже 10-и этажного дома. На этаже 4-е квартиры с просторным холлом, соседи хорошие, доброжелательные. Лифт грузопассажирский. Парадная чистая, светлая без запахов из мусоропровода, так-как он заглушен, мусорные контейнеры находятся в отдельном закрытом боксе рядом со входом в парадную. Консьерж в доме дежурит круглосуточно. По периметру дома, и в парадных установлено видеонаблюдение. В доме находится ИТП, за счет которого, стоимость отопления в квитанциях дешевле, чем в домах без ИТП. Рядом находятся школы (558, 94, 494, 487), дом творчества юных с различными бесплатными кружками, детская и взрослая поликлиники (с бассейнами), торговые центры (Норд, Гранд Каньон), спортивный комплекс Газпром с бассейном и спортивными секциями, каток. В близи находятся Большие Суздальские озера, Новоорловский заказник, Шуваловский парк. Прямая продажа, один собственник за весь период проживания, без обременений, подходит под ипотеку. Риелторов прошу не беспокоить.","['https://cdn-p.cian.site/images/63/836/221/1226383614-1.jpg', 'https://cdn-p.cian.site/images/63/836/221/1226383685-1.jpg', 'https://cdn-p.cian.site/images/63/836/221/1226383689-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383723-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383721-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383724-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383720-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383755-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383749-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383759-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383758-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383784-1.jpg', 'https://cdn-p.cian.site/images/73/836/221/1226383783-1.jpg', 'https://cdn-p.cian.site/images/83/836/221/1226383816-1.jpg', 'https://cdn-p.cian.site/images/83/836/221/1226383819-1.jpg', 'https://cdn-p.cian.site/images/83/836/221/1226383821-1.jpg', 'https://cdn-p.cian.site/images/31/928/721/kvartira-sanktpeterburg-ulica-kompozitorov-1278291369-1.jpg', 'https://cdn-p.cian.site/images/31/928/721/kvartira-sanktpeterburg-ulica-kompozitorov-1278291365-1.jpg', 'https://cdn-p.cian.site/images/63/928/721/1278293648-1.jpg', 'https://cdn-p.cian.site/images/83/836/221/1226383827-1.jpg']",,,,,,,,,,0,2005,1,10,panel,60.060402,30.319406999999998,"Россия, Санкт-Петербург, ул. Композиторов, д.31, к.2",Санкт-Петербург,Шувалово-Озерки,Выборгский,Композиторов,31к2,Проспект Просвещения,"['Проспект Просвещения, 15 минут(ы) пешком', 'Парнас, 6 минут(ы) на транспорте', 'Озерки, 6 минут(ы) на транспорте']",https://spb.cian.ru/sale/flat/269733436/,2022-04-20 09:52:04,realtor_not_commerce
